SAMPLE_ID,Answer
TEST_000,"2022년 혁신창업사업화자금(융자의) 예산은 2,300,000백만원입니다."
TEST_001,중소벤처기업부의 혁신창업사업화자금(융자)의 사업목적은 기술력과 사업성이 우수하고 미래 성장가능성이 높은 중소벤처기업의 창업을 활성화하고 고용창출 도모입니다.
TEST_002,"중소기업진흥에 관한 법률 제66조, 제67조, 제74조 및 중소기업창업지원법 제35조에 근거하고 있습니다."
TEST_003,2010년에 신규 지원된 혁신창업사업화자금에 대한 정보는 없습니다.
TEST_004,"미래기술육성자금, 고성장촉진자금이 신규 지원되었습니다."
TEST_005,2015. 1 재창업자금이 재도약지원자금으로 이관되었습니다.
TEST_006,"일자리창출촉진자금이 창업기반지원과 신청 대상이 중복인 자금이며, 이 자금이 폐지된 연도는 2023년입니다."
TEST_007,혁신창업사업화자금(융자) 사업을 시행하는 주체는 미상입니다.
TEST_008,혁신창업사업화자금(융자) 사업 집행절차는 다음과 같습니다.  
TEST_009,"출산 및 양육으로 손실되는 소득을 보전하고, 주 양육자의 직접돌봄이 중요한 아동발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 부모급여 지급."
TEST_010,"2024년 부모급여(영아수당)의 확정된 예산은 2,888,694백만원입니다."
TEST_011,｢아동수당법｣을 근거로 부모급여 지원 사업이 추진되고 있습니다.
TEST_012,영아수당 지원사업은 '21.8. 예비타당성조사 통과 후 '21.12. 근거법 마련을 거쳐 '22.1~ 시행되었습니다.
TEST_013,부모급여 지원사업은 '23.1월부터 시행되었습니다.
TEST_014,보건복지부의 부모급여(영아수당) 지원 사업시행방법은 예비타당성조사 통과 후 근거법 마련 및 영아수당 지원사업 시행입니다. 사업 수혜자는 0～11개월 아동입니다.
TEST_015,"노인장기요양보험 사업운영의 목적은 고령이나 노인성 질병으로 일상생활을 혼자서 수행하기 어려운 노인등에게 신체 또는 가사 활동 등을 제공하는 노인장기요양보험에 국고지원을 하여, 효율적인 정책추진으로 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상하는 것입니다."
