SAMPLE_ID,Answer
TEST_000,"2022년 혁신창업사업화자금(융자의) 예산은 2,300,000백만원입니다."
TEST_001,중소벤처기업부의 혁신창업사업화자금(융자)의 사업목적은 기술력과 사업성이 우수하고 미래 성장가능성이 높은 중소벤처기업의 창업을 활성화하고 고용창출 도모입니다.
TEST_002,"중소기업진흥에 관한 법률 제66조, 제67조, 제74조 및 중소기업창업지원법 제35조에 근거하고 있습니다."
TEST_003,2010년에 신규 지원된 혁신창업사업화자금은 재창업자금(실패 경영인에 대한 재기지원)입니다.
TEST_004,"미래기술육성자금, 고성장촉진자금 신규 지원"
TEST_005,2015년입니다.
TEST_006,창업기반지원과 신청 대상이 중복인 자금은 일자리창출촉진자금입니다. 이 자금은 2023년에 폐지되었습니다.
TEST_007,중소벤처기업진흥공단이 혁신창업사업화자금(융자) 사업을 시행하는 주체입니다.
TEST_008,혁신창업사업화자금(융자) 사업 집행절차는 다음과 같습니다.  
TEST_009,"출산 및 양육으로 손실되는 소득을 보전하고, 주 양육자의 직접돌봄이 중인 아동발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 부모급여 지급입니다."
TEST_010,"부모급여(영아수당)의 2024년 확정된 예산은 2,888,694 백만원입니다."
TEST_011,아동수당법 제4조제5항에 근거하여 추진되고 있습니다.
TEST_012,영아수당 도입에 대한 추진경위는 다음과 같습니다.
TEST_013,부모급여 지원사업은 '22.1~시행되었습니다.
TEST_014,"사업시행방법은 지자체 보조이며, 사업 수혜자는 만 0~1세 아동입니다."
TEST_015,노인장기요양보험 사업운영의 목적은 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상하는 것입니다.
TEST_016,노인장기요양보험 운영지원에 대한 사업 내용은 국가가 국민건강보험 공단에 지원하는 법정지원금(장기요양보험료 예상수입액의 20% 상당)을 통해 노인장기요양보험을 운영하고 있습니다.
TEST_017,"이재민, 의사상자, 국가유공자, 입양아동, 국가무형문화재보유자, 북한이탈주민 등입니다."
